name,category,latitude,longitude,status,roadAddress
킴델숀,기타,37.499177714191305,127.03975560442662,영업/정상,"서울특별시 강남구 언주로81길 47, 지상1층 (역삼동)"
스시유키,기타,37.52329355698794,127.03030710344119,영업/정상,"서울특별시 강남구 논현로164길 25 (신사동,1층)"
로스팅팩토리,기타,37.49745132704637,127.04439943556862,영업/정상,서울특별시 강남구 언주로71길 7 (역삼동)
오페라빈 에스프레소바,기타,37.49499948130003,127.03728682993406,영업/정상,"서울특별시 강남구 역삼로 166 (역삼동,(101호))"
무라사키,기타,37.523068345787486,127.03496114555749,영업/정상,"서울특별시 강남구 언주로152길 15-4 (신사동,지상1층)"
비엔에이빈스 압구정점,기타,37.527581165435635,127.03603528642982,영업/정상,"서울특별시 강남구 언주로172길 25, 지상1층 (신사동)"
베이글,기타,37.52830143138189,127.03591433544332,영업/정상,"서울특별시 강남구 언주로174길 23 (신사동,지하1층)"
요시야,기타,37.518452692779164,127.03802979554996,영업/정상,"서울특별시 강남구 학동로43길 38, 지하1층 B107호 (논현동, 논현웰스톤)"
카페 바바바(cafe BAVABA),기타,37.506815450277216,127.02567449081835,영업/정상,"서울특별시 강남구 강남대로118길 28, 지상1층 (논현동)"
나주본가 왕갈비탕 강남본점,기타,37.494511944507465,127.03020006661367,영업/정상,"서울특별시 강남구 역삼로1길 19, 지상1층 (역삼동)"
파크 에비뉴,기타,37.504650006680826,127.04220295315258,영업/정상,"서울특별시 강남구 언주로 514 (역삼동,지하1층)"
카페 강남방,기타,37.5130797605142,127.05001337381655,영업/정상,"서울특별시 강남구 봉은사로71길 12, 1층 (삼성동)"
더썬데이클럽,기타,37.522760235887496,127.0429932344101,영업/정상,"서울특별시 강남구 도산대로62길 10 (청담동,지하1층4호)"
제너릭(Zeneric),기타,37.52098940811513,127.04944012120441,영업/정상,"서울특별시 강남구 삼성로 730, 지상5층 (청담동)"
오시리,기타,37.51553094972108,127.03671953088423,영업/정상,"서울특별시 강남구 학동로 312, 빅파이브골프백화점 지하1층 (논현동)"
더이탈리안클럽,기타,37.50859530026902,127.05971847792408,영업/정상,"서울특별시 강남구 테헤란로 517, 현대백화점 10층 (삼성동)"
목련식당,기타,37.51886033763142,127.02984475904337,영업/정상,"서울특별시 강남구 도산대로30길 15 (논현동,지상1층)"
컴온,기타,37.50750438946561,127.03667220137942,영업/정상,"서울특별시 강남구 언주로107길 30 (역삼동,지하1층)"
엔제리너스커피 에스알수서역사(특설),기타,37.48605545419918,127.10422847103837,영업/정상,"서울특별시 강남구 밤고개로 99, SR수서역사내 맞이방 지하1층 (수서동)"
다미곱창,기타,37.50127813157585,127.02707349568753,영업/정상,서울특별시 강남구 테헤란로1길 44 (역삼동)
아리랑분식,기타,37.49480285306611,127.03750527268586,영업/정상,"서울특별시 강남구 역삼로20길 7, 지상1층 (역삼동)"
아펠가모 선릉점,기타,37.50297359241314,127.04653232570449,영업/정상,"서울특별시 강남구 테헤란로 322, 지상4층 (역삼동)"
헐레벌떡,기타,37.503899257898865,127.06188388287427,영업/정상,"서울특별시 강남구 역삼로 538, 블루스카이 보습학원 지상1층 101호,102호 (대치동)"
890,기타,37.51756305585248,127.0215685517305,영업/정상,"서울특별시 강남구 강남대로152길 26, 세현빌딩 지상2층 (신사동)"
피자리움2호점,기타,37.52156661003105,127.02372686792175,영업/정상,"서울특별시 강남구 논현로159길 57 (신사동,지상1층)"
위너스,기타,37.51712702579193,127.02511680569592,영업/정상,서울특별시 강남구 도산대로16길 15 (논현동)
철수네포장마차,기타,37.49845027991923,127.05257763746607,영업/정상,"서울특별시 강남구 선릉로66길 8 (대치동,지상1층)"
삼성동치킨 삼성점,기타,37.51478383355651,127.05898971772082,영업/정상,"서울특별시 강남구 영동대로115길 9 (삼성동,1층)"
남자피자 삼성점,기타,37.515485485862825,127.0496976566473,영업/정상,"서울특별시 강남구 봉은사로73길 48, 지상1층 (삼성동)"
코너,기타,37.509229594757095,127.02492237995403,영업/정상,"서울특별시 강남구 강남대로124길 30, 지상1층 104호 (논현동)"
대원정,기타,37.506690800566595,127.05189155898522,영업/정상,"서울특별시 강남구 선릉로100길 56 (삼성동,지상1층)"
커농 커피앤비어 (coffee and beer),기타,37.47187511187433,127.10693846879741,영업/정상,"서울특별시 강남구 밤고개로 252, 1층 103호 (율현동)"
이병태 함흥냉면 도곡점,냉면,37.48462257136682,127.04639008087352,영업/정상,"서울특별시 강남구 논현로28길 56, 지하1층, 지상1층, 2층 (도곡동)"
백소정 강남구청점,기타,37.51606961971495,127.04049918807128,영업/정상,"서울특별시 강남구 선릉로129길 13, 2층 (논현동)"
커피볶는곰,기타,37.49903403780334,127.05280727017457,영업/정상,"서울특별시 강남구 선릉로68길 12 (대치동,지상1층)"
메이차이,기타,37.48266364841879,127.0620603620671,영업/정상,"서울특별시 강남구 선릉로4길 11, 지하1층 (개포동)"
개러지 사운드 도곡(볼륨버거),기타,37.48535105728231,127.0442620714037,영업/정상,"서울특별시 강남구 논현로38길 32, 1층 일부호 (도곡동)"
노터블(notoble),기타,37.52797374778474,127.03720009306171,영업/정상,"서울특별시 강남구 압구정로46길 5-6, A동204호 (신사동, 로데오스타빌딩)"
99육회본가 선릉점,기타,37.505656575928384,127.04706172322861,영업/정상,"서울특별시 강남구 테헤란로55길 17, URBAN9 1층 (역삼동)"
모미지 강남논현점,기타,37.50681827382005,127.02413998136512,영업/정상,"서울특별시 강남구 봉은사로1길 33, 지상2층 (논현동)"
마노디셰프 강남점,기타,37.50011785425546,127.03222166172274,영업/정상,"서울특별시 강남구 테헤란로 129, 지하2층 (역삼동)"
일레븐 롤스,기타,37.52599453363931,127.04044222795292,영업/정상,"서울특별시 강남구 선릉로 830, 1층 (청담동)"
토리키치 신논현점,기타,37.505945763356365,127.02587357404954,영업/정상,"서울특별시 강남구 강남대로114길 20, 지하2층 2호 (논현동)"
부엉이 식당(ミミズク),기타,37.50567499876464,127.05848066222158,영업/정상,"서울특별시 강남구 삼성로86길 12, 지상2층 (대치동)"
오로라,기타,37.521438466573656,127.05694589350674,영업/정상,서울특별시 강남구 영동대로 712 (청담동)
강남홀덤,기타,37.50430184695966,127.0548089571864,영업/정상,"서울특별시 강남구 삼성로85길 33, 지상2층 205호 (대치동)"
호치킨,기타,37.48232133136462,127.06134553817736,영업/정상,"서울특별시 강남구 선릉로 28, 지상1층 102호 (개포동, 일영빌딩)"
더씨오씨(C.O.C),기타,37.5101154524677,127.05744183362938,영업/정상,"서울특별시 강남구 삼성로100길 25, 지하1층 (삼성동)"
올라포케 역삼점,기타,37.5014473109603,127.03386468681198,영업/정상,"서울특별시 강남구 논현로95길 29-8, 지상1층 102호 (역삼동)"
곰바위,기타,37.51507734855086,127.05864800484295,영업/정상,"서울특별시 강남구 봉은사로97길 16 (삼성동, 외2필 지하2층~지상2층)"
탐미안,기타,37.48344772135203,127.06024624585241,영업/정상,"서울특별시 강남구 선릉로16길 4-8, 지상1층 101호 (개포동)"
지호한방삼계탕,기타,37.51453762059608,127.05848572380104,영업/정상,"서울특별시 강남구 영동대로115길 16, 지상1층 (삼성동)"
럭키김밥,기타,37.49045040211117,127.03999721605096,영업/정상,"서울특별시 강남구 논현로 213 (도곡동,지하 111호)"
